m0,m1,m2,j,FOV,globX,globY,Names,cell_ID,cell_center_X,cell_center_Y,cell_center_globX,cell_center_globY,cell_number,cell_globID
0,1830,1866,0,3,2982.0,16381.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1834,1867,0,3,2986.0,16382.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1834,1872,0,3,2986.0,16387.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1836,1858,0,3,2988.0,16373.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1836,1863,0,3,2988.0,16378.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1836,2232,0,3,2988.0,16747.0,Vglut1,2174,1441.9711538461538,1896.4134615384614,9735.971153846154,18484.41346153846,2174_3,5067
0,1838,1870,0,3,2990.0,16385.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1838,2042,0,3,2990.0,16557.0,Vglut1,2173,1443.2016129032259,1061.9290322580646,9737.201612903225,17649.929032258064,2173_3,5066
0,1839,1852,0,3,2991.0,16367.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1841,2229,0,3,2993.0,16744.0,Vglut1,2174,1441.9711538461538,1896.4134615384614,9735.971153846154,18484.41346153846,2174_3,5067
0,1845,1854,0,3,2997.0,16369.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1846,1871,0,3,2998.0,16386.0,Vglut1,2169,1444.4797347089168,607.8474576271186,9738.479734708917,17195.84745762712,2169_3,5062
0,1848,2225,0,3,3000.0,16740.0,Vglut1,2174,1441.9711538461538,1896.4134615384614,9735.971153846154,18484.41346153846,2174_3,5067
0,1849,1968,0,3,3001.0,16483.0,Vglut1,2182,1452.0624315443592,669.9452354874041,9746.06243154436,17257.945235487405,2182_3,5074
0,1404,1957,1,3,2556.0,16472.0,Gad1,1839,1072.494355597366,259.69190968955786,9366.494355597366,16847.691909689558,1839_3,4805
0,1448,2172,1,3,2600.0,16687.0,Gad1,1902,1144.9154786150714,1179.6894093686353,9438.915478615072,17767.689409368635,1902_3,4850
